,brand,categories,colors,name,sizes,prices
7141,Floral,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Gold,"FLORAL Pearl Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 12",6,49.95
7142,Trotters,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black/White Waxy Faux Leather/Plain Quilted,"trotters women's blast iii boot,black quill,11 n us",5,122.6
7143,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Clear PVC/Red Tinted,Women's Pleaser Flamingo-801T Platform Slide,7,42.73
7144,L'Artiste by Spring Step,Boots,Yellow Multi Leather/Synthetic,Women's L'Artiste by Spring Step Woodland Ankle Boot,42,129.99
7145,L'Artiste by Spring Step,Boots,Yellow Multi Leather/Synthetic,Women's L'Artiste by Spring Step Woodland Ankle Boot,39,103.99
7146,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Clear PVC/Pink Tinted,Women's Pleaser Flamingo-801T Platform Slide,10,45.94
7147,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Clear PVC/Pink Tinted,Women's Pleaser Flamingo-801T Platform Slide,6,42.73
7148,Heal USA,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Multi 1,Women's Heal USA Echo,8,49.95
7149,Heal USA,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Multi 1,Women's Heal USA Echo,7,49.95
7150,Pleaser,Sandals,Clear/Black Ombre,Women's Pleaser Moon 708FLM Ankle Strap Sandal,7,57.95
7151,L'Artiste by Spring Step,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Multi Leather,Women's L'Artiste by Spring Step Solarsys D'Orsay Shoe,42,119.99
7152,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Clear/Smoke Synthetic,Women's Pleaser Beau 608 Wedge Heel,7,59.95
7153,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Clear/Cork,Women's Pleaser Beau 608 Wedge Heel,9,61.95
7154,Genuine Grip,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Pewter,Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper,7,60.0
7155,Genuine Grip,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Pewter,Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper,9,60.0
7156,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",11,127.0
7157,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",11,127.0
7158,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",9,127.0
7159,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",6,127.0
7160,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",7,127.0
7161,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Brinley Co. Womens Fringe Tassle Faux Suede High Heels,10,27.5
7162,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",12,183.98
7163,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Grey,Brinley Co. Womens Rubber Toe Cap Weatherproof Faux Suede Rainboots,7,44.99
7164,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",9,127.0
7165,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",BONE,"Women's SAS, Siesta Lace up Shoe",6,128.95
7166,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",BONE,"Women's SAS, Siesta Lace up Shoe",6,128.95
7167,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",10,170.95
7168,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",5,106.9
7169,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",11,127.0
7170,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",7,127.0
7171,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",12,127.0
7172,Miz Mooz,Boots,Snake,Miz Mooz Leather Ankle Booties Goring Dalia A289346,36,134.98
7173,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",10,127.0
7174,SAS,"Clothing,Shoes,Womens Shoes,All Womens Shoes",WHITE,"Women's SAS, Siesta Lace up Shoe",8,127.0
7175,Miz Mooz,Boots,BLACK,Miz Mooz Marybeth Women's Knee-High Boot,39,199.95
